filename,citations,circumstance,year,RTNs,location,link
2-0012943 - CHARLTON - NON 01-31-2003,"['40.0420', '40.0333', '40.0314']","on september 17, 1999 the department was notified of a release of oil occurred at the abovereferenced site. on this same date the department approved an immediate response action ira for this release. a notice of responsibility nor was issued to you on september 30, 1999, informing you of the need to submit the release notification form rnf and ira plan within 60 days of notification, or by november 16, 1999. no rnf or ira plan has been submitted.",2003,2-0012943,CHARLTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012943
2-0012943 - CHARLTON - NON 01-31-2003,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","on september 17, 1999 the department was notified of a release of oil occurred at the abovereferenced site. a notice of responsibility nor was issued to you on september 30, 1999, informing you of the requirement to tier classify the site within one year. july 27, 2000 the department sent you a letter reminding you of the approaching deadline for tier classification. a tier classification submittal or response action outcome statement rao was required on or before september 17, 2000. no tier classification submittal or rao has been received by the department for this release.",2003,2-0012943,CHARLTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012943
2-0000642 - AYER - NON A 09-25-2003,"['40.0740', '40.0550']","the department issued you a tier ic permit, which became effective on august 19, 1994 and expired on august 19, 1999. the deadline for completion and submittal of a response action outcome statement rao was august 19, 1999, the department did not receive an rao within the required deadline. you requested a tier ic permit extension, which the department issued, and which became effective on january 31, 2000 and expired on august 19, 2001. you requested a second tier ic permit extension. the department issued a conditional tier ic permit extension which required that you attain a temporary or permanent solution and submit an rao by the expiration of the extension on august 19, 2003. you recently requested a third tier ic permit extension. the department anticipates that the current permit extension application will be presumptively approved on september 29, 2003. if approved, the permit extension will expire mr. mikes citgo, 27 harvard road, ayer",2003,2-0000642,AYER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000642
2-0013076 - BELLINGHAM - NON  12-11-2001,"['40.0420', '40.0333']","on january 17, 2000 the department was notified of a release of fuel oil from an aboveground storage tank ast system at the above referenced site. the release of approximately70 gallons of oil had been flushed or pushed out of the garage door at the site and subsequently impacted the soil outside the garage. on this same date the department approved an immediate response action ira for this release. a notice of responsibility nor was issued to you on january 27, 2000, informing you of the need to submit the release notification form rnf and ira plan within 60 days of notification, or by march 18, 2000. on june 1, 2000 the department received an ira plan that included the proposed assessment and also the application of fentons reagent to remediate contaminated soil at the site. no rnf has been submitted.",2001,2-0013076,BELLINGHAM,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013076
2-0013076 - BELLINGHAM - NON  12-11-2001,['40.0425'],"on january 17, 2000 the department was notified of a release of fuel oil from an aboveground storage tank ast system at the above referenced site. on this same date the department approved an immediate response action ira for this release. on june 1, 2000 the department received an ira plan for this site. no ira status reports or completion statement have been submitted to the department since that time.",2001,2-0013076,BELLINGHAM,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013076
2-0013076 - BELLINGHAM - NON  12-11-2001,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","on january 17, 2000 the department was notified of a release of fuel oil from an aboveground storage tank ast system at the above referenced site. a notice of responsibility nor was issued to you on january 27, 2000, informing you of the requirement to tier classify the site within one year. november 8, 2000 the department sent you a letter reminding you of the approaching deadline for tier classification. a tier classification submittal or response action outcome statement rao was required on or before january 17, 2001. no tier classification submittal or rao has been received by the department for this release. ee etre aa es ri goss sooners ened sre wenereannd nsotearanantneneunwendieuitaessnenee sthshenseteaeigtennatednmet ins pubeseniygiee cases tien tenn sta nanny nnesqiegettigupeacasnuttainnetntesseeneunentavneeseuuns te uate sat ferrers cepa rane trent",2001,2-0013076,BELLINGHAM,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013076
2-0013076 - BELLINGHAM - NON  12-11-2001,"['40.0167', '40.0022']","on may 11, 2001 you were issued a letter from the department requiring you to submit an ira status report on or before june 22, 2001. the letter specified that this deadline was an interim deadline pursuant to 310 cmr 40.0167. the department received no response to this letter.",2001,2-0013076,BELLINGHAM,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013076
2-0012063 - WEBSTER - NON 01-30-2003,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","on january 12, 1998, the department was notified that the abovereferenced site has been subject to a release of oil to soil and groundwater in excess of the applicable reportable concentration a notice of responsibility nor was issued to you on february 19, 1998 informing you of the requirement to tier classify the site within one year. november 25, 1997 the department sent you a letter reminding you of the approaching deadline for tier classification. a tier classification submittal or response action outcome statement rag was required on or before january 12, 1999. no tier classification submittal or rao has been received by the department for this release.",2003,2-0012063,WEBSTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012063
2-0000481 - OXFORD - NON 02-16-2001,['40.0550'],"the department issued a tier ib permit to you that became effective on november 6, 1997. the deadline for completion and submittal of a phase ii comprehensive site assessment csa and phase iii remedial action plan rap was november 6, 1999, and the deadline for a phase iv remedy implementation plan rip was november 6, 2000. the department has not received any of these required submittals.",2001,2-0000481,OXFORD,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000481
2-0013267 - MILFORD - NON  12-11-2001,"['40.0420', '40.0333']","the department was notified of the release on april 29, 2000. also on this date you accepted responsibility for conducting the required immediate response action ira at the site. you were required to submit a release notification form rnf and ira plan within sixty 60 days of notification, or by august 28, 2000. no rnf or ira plan has been submitted to the department.",2001,2-0013267,MILFORD,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013267
